"","LSOA_CODE","items","quantity","cost","drug_type"
"16498","E01017371",16.2895899564188,1794.00932104598,75.7445127681432,"pain_medications"
"16499","E01017372",13.9463196249684,1533.10961188095,64.614801554436,"pain_medications"
"16500","E01017373",19.3159768384547,2134.05529570494,89.9110870079245,"pain_medications"
"16501","E01017374",12.3676421324104,1343.57535542189,56.6752428289086,"pain_medications"
"16502","E01017375",11.7079228529683,1278.45385582179,54.0230263264449,"pain_medications"
"16503","E01017376",13.958019674711,1737.07306933236,71.8133783762745,"pain_medications"
"16504","E01017377",10.7074726649149,1343.97997280575,55.5293261663285,"pain_medications"
"16505","E01017378",11.9621584471457,1501.30254549503,62.0471184288348,"pain_medications"
"16506","E01017379",9.76070297512069,888.564176766428,38.3538435661861,"pain_medications"
"16507","E01017380",10.9155460113956,995.284679267066,42.9676065405365,"pain_medications"
"16508","E01017381",11.6819012451229,1230.15188616901,51.1284717500984,"pain_medications"
"16509","E01017382",11.8811742508017,1253.46278346671,52.0581356464565,"pain_medications"
"16510","E01017383",16.0132758278361,1680.47385885785,69.8232012996961,"pain_medications"
"16511","E01017384",12.8479949243469,1339.17292069642,55.6740239748675,"pain_medications"
"16512","E01017385",16.1577326880549,1709.59331886226,70.9710959215446,"pain_medications"
"16513","E01017386",13.9602290897554,1483.51287148708,61.570807296044,"pain_medications"
"16514","E01017387",10.4235390210118,1090.93419680473,45.3362817502795,"pain_medications"
"16515","E01017388",23.7886700396411,2482.44908772564,103.188490724556,"pain_medications"
"16516","E01017391",7.26422630097992,778.952566547612,32.2139592307242,"pain_medications"
"16517","E01017392",7.56153282338285,804.287417558736,33.2127803419388,"pain_medications"
"16518","E01017393",10.8116986617977,1123.81989212467,46.7105949680724,"pain_medications"
"16519","E01017394",9.41115318075738,1000.01523990987,41.8112356154397,"pain_medications"
"16520","E01017397",11.6045754003786,1229.53325099239,51.4308989561785,"pain_medications"
"16521","E01017398",45.3579333288811,4815.32822360893,205.205860917356,"pain_medications"
"16522","E01017399",17.523966966321,2084.64811903936,87.8747083498259,"pain_medications"
"16523","E01017400",20.9776640216306,2520.81647850197,106.20967274272,"pain_medications"
"16524","E01017401",16.0848893336431,1909.96783910032,80.4417919227141,"pain_medications"
"16525","E01017402",19.7941890200632,2366.20682571397,99.8384088849553,"pain_medications"
"16526","E01017403",18.5382702720995,2218.92423117518,93.4929045525935,"pain_medications"
"16527","E01017404",16.2472221512431,1949.99795910212,82.1744521480997,"pain_medications"
"16528","E01017405",17.6185838930975,2105.16945540483,88.7424470551489,"pain_medications"
"16529","E01017406",30.5361495272764,3599.36310141416,151.571462231694,"pain_medications"
"16530","E01017407",19.9853739365265,2392.45374523627,100.80536242273,"pain_medications"
"16531","E01017408",44.8521962463929,4705.93534973051,194.408239517669,"pain_medications"
"16532","E01017409",53.0463503104778,5539.36583778517,228.727534546475,"pain_medications"
"16533","E01017410",5.42207156625275,580.612642563742,24.0000784055418,"pain_medications"
"16534","E01017412",8.47938035628168,888.581644060329,36.8159356643472,"pain_medications"
"16535","E01017413",16.1332516867458,1731.16981235255,71.8316570967566,"pain_medications"
"16536","E01017414",15.7389790257317,1688.19762591759,70.0255583205128,"pain_medications"
"16537","E01017415",9.36098580366389,1034.89711406629,42.9590452621396,"pain_medications"
"16538","E01017418",10.2703782689094,1107.37373339759,46.0421436617854,"pain_medications"
"16539","E01017419",16.3103915901063,1747.99462650621,74.1798396503397,"pain_medications"
"16540","E01017420",15.8680163195376,1735.92482687951,73.3348847763354,"pain_medications"
"16541","E01017421",25.4548178547464,2635.44479896159,112.326806252704,"pain_medications"
"16542","E01017422",14.503136597393,1451.48605642152,60.0644529464315,"pain_medications"
"16543","E01017423",14.7528437682059,1289.6806254196,52.3855336978795,"pain_medications"
"16544","E01017424",14.9124380639937,1353.61867487458,55.4681818892012,"pain_medications"
"16545","E01017425",10.8686591371581,1183.44472205806,49.9303623975312,"pain_medications"
"16546","E01017426",15.1172781599076,1673.599243138,70.6903756471653,"pain_medications"
"16547","E01017427",24.5224429315564,2673.77946837631,112.575373573432,"pain_medications"
"16548","E01017428",18.1361591301343,2001.18036677758,84.372417304548,"pain_medications"
"16549","E01017429",22.2176790502414,2450.98017275682,103.315317098848,"pain_medications"
"16550","E01017430",14.3976697811851,1209.37859551303,49.2111929332388,"pain_medications"
"16551","E01017431",13.9177108566392,1169.88454049328,47.6342278854143,"pain_medications"
"16552","E01017432",13.279315460932,1116.00589002885,45.4268235851636,"pain_medications"
"16553","E01017433",15.0631632239056,1202.31819726336,48.71787300854,"pain_medications"
"16554","E01017434",15.7742725726952,1293.77755484554,52.5534236140533,"pain_medications"
"16555","E01017435",16.5412808782179,1349.17596425016,54.784963142806,"pain_medications"
"16556","E01017436",22.6922818650665,1862.9996117031,75.6813464831895,"pain_medications"
"16557","E01017437",7.02705169104756,740.048785096027,30.5437872826249,"pain_medications"
"16558","E01017438",5.80465346517862,610.793198576465,25.1972043266913,"pain_medications"
"16559","E01017439",7.96358476620244,837.372559167981,34.5800114273281,"pain_medications"
"16560","E01017440",10.1393926370733,1063.00651896047,43.8447650855621,"pain_medications"
"16561","E01017441",14.5824894254197,1439.70320167408,61.0190817920165,"pain_medications"
"16562","E01017442",18.4530173530432,1889.37340111071,79.6478814524701,"pain_medications"
"16563","E01017443",8.36159132396653,858.881532764659,36.1832790119367,"pain_medications"
"16564","E01017444",30.0168753942886,2920.33497819234,125.359892603318,"pain_medications"
"16565","E01017446",11.0574685401246,1394.53269261836,57.6760643168139,"pain_medications"
"16566","E01017447",18.5102882047883,2310.73708229026,95.6014023416716,"pain_medications"
"16567","E01017449",20.2395816427412,2530.01634715735,104.733501278315,"pain_medications"
"16568","E01017450",36.6176488682283,4209.34560069829,176.420456229825,"pain_medications"
"16569","E01017451",12.4599313223149,1195.01914280883,51.2231540673207,"pain_medications"
"16570","E01017452",10.462331317639,953.539186095477,41.1484165530347,"pain_medications"
"16571","E01017453",7.03436451893929,823.35159851183,34.3866949400497,"pain_medications"
"16572","E01017454",7.42239374747454,870.120818634475,36.3299226518403,"pain_medications"
"16573","E01017455",7.71882026852936,905.225395099338,37.8195673580172,"pain_medications"
"16574","E01017456",7.77905273476351,915.941256970759,38.2727783355013,"pain_medications"
"16575","E01017457",6.35964015662518,744.060638065312,31.0881077655926,"pain_medications"
"16576","E01017458",6.59068736738065,774.657404710369,32.3484065385532,"pain_medications"
"16577","E01017459",9.49350924614678,1034.26903160032,43.3537061368801,"pain_medications"
"16578","E01017460",15.0206535335585,1556.14635478272,65.3400920484188,"pain_medications"
"16579","E01017462",8.83326991645071,995.731663795345,41.7314705135908,"pain_medications"
"16580","E01017463",8.17218666767971,939.661191276138,39.3575009315329,"pain_medications"
"16581","E01017464",7.40925051797942,753.058239312695,32.6014502101673,"pain_medications"
"16582","E01017465",5.27275090530947,615.126228498171,27.1253690884144,"pain_medications"
"16583","E01017466",12.9095429257846,1396.55445373129,58.4751888625601,"pain_medications"
"16584","E01017467",6.26332598375468,699.617522994768,29.2175230263148,"pain_medications"
"16585","E01017468",6.64316706607811,756.833054596508,31.6231254695322,"pain_medications"
"16586","E01017470",6.43088930366462,729.55558574283,30.4727100472568,"pain_medications"
"16587","E01017471",9.50109797072622,1063.66358156576,44.5393790981049,"pain_medications"
"16588","E01017472",5.5517724724956,617.090812632536,25.5543710348388,"pain_medications"
"16589","E01017474",6.6863892671264,704.554536654247,29.122996637156,"pain_medications"
"16590","E01017475",5.41418587572775,585.49676140203,24.2732828017862,"pain_medications"
